column_name,layer,raw_field_name,field_type,coverage_count,non_empty_count,positive_count,example_values,description
raw_autonomous_mode,raw_widget,Autonomous Mode,CheckBox,826,826,0.0,0,Raw PDF widget 'Autonomous Mode' extracted from the OL 316 form.
raw_avt_number_2,raw_widget,AVT NuMBER_2,Text,826,9,0.0,AVT; 003; AVDT004,Raw PDF widget 'AVT NuMBER_2' extracted from the OL 316 form.
raw_b_vision_obscurement_checkbox,raw_widget,B VISION OBSCUREMENT CHECKBOX,CheckBox,7,7,0.0,0,Raw PDF widget 'B VISION OBSCUREMENT CHECKBOX' extracted from the OL 316 form.
raw_bicyclist,raw_widget,Bicyclist,CheckBox,826,826,0.0,0,Raw PDF widget 'Bicyclist' extracted from the OL 316 form.
raw_bicyclist_2,raw_widget,Bicyclist_2,CheckBox,826,826,0.0,0,Raw PDF widget 'Bicyclist_2' extracted from the OL 316 form.
raw_bicyclist_3,raw_widget,Bicyclist_3,CheckBox,826,826,0.0,0,Raw PDF widget 'Bicyclist_3' extracted from the OL 316 form.
raw_bicyclist_4,raw_widget,Bicyclist_4,CheckBox,826,826,0.0,0,Raw PDF widget 'Bicyclist_4' extracted from the OL 316 form.
raw_business_name,raw_widget,BuSINESS NAME,Text,826,824,0.0,Cruise; Aurora Innovation Inc; Waymo LLC,Raw PDF widget 'BuSINESS NAME' extracted from the OL 316 form.
raw_city,raw_widget,CITY,Text,826,9,0.0,unk; NA; N/A,Raw PDF widget 'CITY' extracted from the OL 316 form.
raw_city_2,raw_widget,City,Text,7,1,0.0,San Jose,Raw PDF widget 'City' extracted from the OL 316 form.
raw_city_2_0,raw_widget,CITY_2.0,Text,826,5,0.0,NA; N/A,Raw PDF widget 'CITY_2.0' extracted from the OL 316 form.
raw_city_2_1_0,raw_widget,CITY_2.1.0,Text,826,5,0.0,NA; N/A,Raw PDF widget 'CITY_2.1.0' extracted from the OL 316 form.
raw_city_2_1_1_0,raw_widget,CITY_2.1.1.0,Text,826,8,0.0,NA; N/A; San,Raw PDF widget 'CITY_2.1.1.0' extracted from the OL 316 form.
raw_city_2_1_1_1,raw_widget,CITY_2.1.1.1,Text,826,5,0.0,NA; N/A,Raw PDF widget 'CITY_2.1.1.1' extracted from the OL 316 form.
raw_company_naic_number,raw_widget,COMPANY NAIC NuMBER,Text,826,1,0.0,24147,Raw PDF widget 'COMPANY NAIC NuMBER' extracted from the OL 316 form.
raw_company_naic_number_2,raw_widget,COMPANY NAIC NuMBER_2,Text,826,45,0.0,UNK; unk.; Unknown,Raw PDF widget 'COMPANY NAIC NuMBER_2' extracted from the OL 316 form.
raw_conventional_mode,raw_widget,Conventional Mode,CheckBox,826,826,0.0,0,Raw PDF widget 'Conventional Mode' extracted from the OL 316 form.
raw_cvc_sections_checkbox_no,raw_widget,CVC SECTIONS CHECKBOX NO,CheckBox,7,7,1.0,1; 0,Raw PDF widget 'CVC SECTIONS CHECKBOX NO' extracted from the OL 316 form.
raw_cvc_sections_checkbox_yes,raw_widget,CVC SECTIONS CHECKBOX YES,CheckBox,7,7,0.0,0,Raw PDF widget 'CVC SECTIONS CHECKBOX YES' extracted from the OL 316 form.
raw_date_of_accident,raw_widget,DATE Of ACCIDENT,Text,826,826,0.0,01/07/2019; 01/10/2019; 01/26/2019,Raw PDF widget 'DATE Of ACCIDENT' extracted from the OL 316 form.
raw_date_of_birth_0,raw_widget,DATE Of BIRTh.0,Text,824,2,0.0,1/28/2022; 04/15/1992,Raw PDF widget 'DATE Of BIRTh.0' extracted from the OL 316 form.
raw_date_of_birth_1,raw_widget,DATE Of BIRTh.1,Text,819,3,0.0,94103; 94404; 94043,Raw PDF widget 'DATE Of BIRTh.1' extracted from the OL 316 form.
raw_date_of_birth_2,raw_widget,DATE Of BIRTh_2,Text,826,2,0.0,UNK,Raw PDF widget 'DATE Of BIRTh_2' extracted from the OL 316 form.
raw_date_signed,raw_widget,DATE SIGNED,Text,826,697,0.0,3/13/2019; 03/18/2019; 01/31/2019,Raw PDF widget 'DATE SIGNED' extracted from the OL 316 form.
raw_deceased,raw_widget,Deceased,CheckBox,826,826,0.0,0,Raw PDF widget 'Deceased' extracted from the OL 316 form.
raw_deceased_2,raw_widget,Deceased_2,CheckBox,826,826,0.0,0,Raw PDF widget 'Deceased_2' extracted from the OL 316 form.
raw_defective_weh_checkbox_no,raw_widget,DEFECTIVE WEH CHECKBOX NO,CheckBox,7,7,1.0,1; 0,Raw PDF widget 'DEFECTIVE WEH CHECKBOX NO' extracted from the OL 316 form.
raw_defective_weh_checkbox_yes,raw_widget,DEFECTIVE WEH CHECKBOX YES,CheckBox,7,7,0.0,0,Raw PDF widget 'DEFECTIVE WEH CHECKBOX YES' extracted from the OL 316 form.
raw_driver,raw_widget,Driver,CheckBox,826,826,0.0,0,Raw PDF widget 'Driver' extracted from the OL 316 form.
raw_driver_2,raw_widget,Driver_2,CheckBox,826,826,0.0,0,Raw PDF widget 'Driver_2' extracted from the OL 316 form.
raw_driver_license_number_0,raw_widget,DRIVER LICENSE NuMBER.0,Text,824,6,0.0,N/A - Driverless,Raw PDF widget 'DRIVER LICENSE NuMBER.0' extracted from the OL 316 form.
raw_driver_license_number_1,raw_widget,DRIVER LICENSE NuMBER.1,Text,819,5,0.0,San Francisco; Sa; Foster City,Raw PDF widget 'DRIVER LICENSE NuMBER.1' extracted from the OL 316 form.
raw_driver_license_number_2,raw_widget,DRIVER LICENSE NuMBER_2,Text,826,35,0.0,unk; UNK; unk.,Raw PDF widget 'DRIVER LICENSE NuMBER_2' extracted from the OL 316 form.
raw_drivers_full_name_first_middle_last_0,raw_widget,DRIVERS fuLL NAME First Middle last.0,Text,826,7,0.0,N/A - Driverless; Zoox,Raw PDF widget 'DRIVERS fuLL NAME First Middle last.0' extracted from the OL 316 form.
raw_drivers_full_name_first_middle_last_1,raw_widget,DRIVERS fuLL NAME First Middle last.1,Text,826,3,0.0,1201 Bryant Street; 1149 Chess Drive; 1600 Amphitheatre Parkway,Raw PDF widget 'DRIVERS fuLL NAME First Middle last.1' extracted from the OL 316 form.
raw_drivers_full_name_first_middle_last_2,raw_widget,DRIVERS fuLL NAME First Middle last_2,Text,826,29,0.0,UNK; unk.; unk,Raw PDF widget 'DRIVERS fuLL NAME First Middle last_2' extracted from the OL 316 form.
raw_entering_leaving_checkbox,raw_widget,ENTERING LEAVING CHECKBOX,CheckBox,7,7,0.0,0,Raw PDF widget 'ENTERING LEAVING CHECKBOX' extracted from the OL 316 form.
raw_from,raw_widget,fROM,Text,826,0,0.0,nan,Raw PDF widget 'fROM' extracted from the OL 316 form.
raw_from_2,raw_widget,fROM_2,Text,826,4,0.0,UNK; 07/01/2023,Raw PDF widget 'fROM_2' extracted from the OL 316 form.
raw_front_bumper,raw_widget,Front Bumper,CheckBox,826,826,71.0,0; 1,Raw PDF widget 'Front Bumper' extracted from the OL 316 form.
raw_front_driver_side_1,raw_widget,Front Driver Side 1,CheckBox,826,826,29.0,1; 0,Raw PDF widget 'Front Driver Side 1' extracted from the OL 316 form.
raw_front_driver_side_2,raw_widget,Front Driver Side 2,CheckBox,826,826,5.0,0; 1,Raw PDF widget 'Front Driver Side 2' extracted from the OL 316 form.
raw_front_driver_side_3,raw_widget,Front Driver Side 3,CheckBox,826,826,51.0,1; 0,Raw PDF widget 'Front Driver Side 3' extracted from the OL 316 form.
raw_front_driver_side_4,raw_widget,Front Driver Side 4,CheckBox,826,826,2.0,0; 1,Raw PDF widget 'Front Driver Side 4' extracted from the OL 316 form.
raw_front_passenger_side_1,raw_widget,Front Passenger Side 1,CheckBox,826,826,7.0,0; 1,Raw PDF widget 'Front Passenger Side 1' extracted from the OL 316 form.
raw_front_passenger_side_2,raw_widget,Front Passenger Side 2,CheckBox,826,826,24.0,0; 1,Raw PDF widget 'Front Passenger Side 2' extracted from the OL 316 form.
raw_front_passenger_side_3,raw_widget,Front Passenger Side 3,CheckBox,826,826,3.0,0; 1,Raw PDF widget 'Front Passenger Side 3' extracted from the OL 316 form.
raw_front_passenger_side_4,raw_widget,Front Passenger Side 4,CheckBox,826,826,48.0,0; 1,Raw PDF widget 'Front Passenger Side 4' extracted from the OL 316 form.
raw_g_unfamiliar_with_road_checkbox,raw_widget,G UNFAMILIAR WITH ROAD CHECKBOX,CheckBox,7,7,0.0,0,Raw PDF widget 'G UNFAMILIAR WITH ROAD CHECKBOX' extracted from the OL 316 form.
raw_inattention_check_box,raw_widget,INATTENTION CHECK BOX,CheckBox,7,7,0.0,0,Raw PDF widget 'INATTENTION CHECK BOX' extracted from the OL 316 form.
raw_injured,raw_widget,Injured,CheckBox,826,826,0.0,0,Raw PDF widget 'Injured' extracted from the OL 316 form.
raw_injured_2,raw_widget,Injured_2,CheckBox,826,826,0.0,0,Raw PDF widget 'Injured_2' extracted from the OL 316 form.
raw_insurance_company_name_or_surety_company_at_time_of_accident,raw_widget,INSuRANCE COMPANY NAME OR SuRETY COMPANY AT TIME Of ACCIDENT,Text,826,0,0.0,nan,Raw PDF widget 'INSuRANCE COMPANY NAME OR SuRETY COMPANY AT TIME Of ACCIDENT' extracted from the OL 316 form.
raw_insurance_company_name_or_surety_company_at_time_of_accident_2,raw_widget,INSuRANCE COMPANY NAME OR SuRETY COMPANY AT TIME Of ACCIDENT_2,Text,826,36,0.0,UNK; unk.; Unknown,Raw PDF widget 'INSuRANCE COMPANY NAME OR SuRETY COMPANY AT TIME Of ACCIDENT_2' extracted from the OL 316 form.
raw_left_front_corner_1,raw_widget,Left Front Corner 1,CheckBox,826,826,76.0,1; 0,Raw PDF widget 'Left Front Corner 1' extracted from the OL 316 form.
raw_left_front_corner_2,raw_widget,Left Front Corner 2,CheckBox,826,826,15.0,0; 1,Raw PDF widget 'Left Front Corner 2' extracted from the OL 316 form.
raw_left_front_corner_3,raw_widget,Left Front Corner 3,CheckBox,826,826,63.0,0; 1,Raw PDF widget 'Left Front Corner 3' extracted from the OL 316 form.
raw_left_rear_1,raw_widget,Left Rear 1,CheckBox,826,826,180.0,0; 1,Raw PDF widget 'Left Rear 1' extracted from the OL 316 form.
raw_left_rear_2,raw_widget,Left Rear 2,CheckBox,826,826,75.0,0; 1,Raw PDF widget 'Left Rear 2' extracted from the OL 316 form.
raw_left_rear_3,raw_widget,Left Rear 3,CheckBox,826,826,5.0,0; 1,Raw PDF widget 'Left Rear 3' extracted from the OL 316 form.
raw_left_rear_passenger_1,raw_widget,Left Rear Passenger 1,CheckBox,826,826,27.0,0; 1,Raw PDF widget 'Left Rear Passenger 1' extracted from the OL 316 form.
raw_left_rear_passenger_2,raw_widget,Left Rear Passenger 2,CheckBox,826,826,0.0,0,Raw PDF widget 'Left Rear Passenger 2' extracted from the OL 316 form.
raw_left_rear_passenger_3,raw_widget,Left Rear Passenger 3,CheckBox,826,826,25.0,0; 1,Raw PDF widget 'Left Rear Passenger 3' extracted from the OL 316 form.
raw_left_rear_passenger_4,raw_widget,Left Rear Passenger 4,CheckBox,826,826,3.0,0; 1,Raw PDF widget 'Left Rear Passenger 4' extracted from the OL 316 form.
raw_license_plate_number,raw_widget,LICENSE PLATE NuMBER,Text,826,1,0.0,67860S3,Raw PDF widget 'LICENSE PLATE NuMBER' extracted from the OL 316 form.
raw_license_plate_number_2,raw_widget,LICENSE PLATE NuMBER_2,Text,826,18,0.0,unk.; Unk.; Unk,Raw PDF widget 'LICENSE PLATE NuMBER_2' extracted from the OL 316 form.
raw_lighting_a_1,raw_widget,LIGHTING A 1,CheckBox,819,819,542.0,0; 1,Raw PDF widget 'LIGHTING A 1' extracted from the OL 316 form.
raw_lighting_a_2,raw_widget,LIGHTING A 2,CheckBox,819,819,475.0,0; 1,Raw PDF widget 'LIGHTING A 2' extracted from the OL 316 form.
raw_lighting_b_1,raw_widget,LIGHTING B 1,CheckBox,819,819,20.0,0; 1,Raw PDF widget 'LIGHTING B 1' extracted from the OL 316 form.
raw_lighting_b_2,raw_widget,LIGHTING B 2,CheckBox,819,819,16.0,0; 1,Raw PDF widget 'LIGHTING B 2' extracted from the OL 316 form.
raw_lighting_c_1,raw_widget,LIGHTING C 1,CheckBox,819,819,246.0,1; 0,Raw PDF widget 'LIGHTING C 1' extracted from the OL 316 form.
raw_lighting_c_2,raw_widget,LIGHTING C 2,CheckBox,819,819,216.0,1; 0,Raw PDF widget 'LIGHTING C 2' extracted from the OL 316 form.
raw_lighting_d_1,raw_widget,LIGHTING D 1,CheckBox,819,819,7.0,0; 1,Raw PDF widget 'LIGHTING D 1' extracted from the OL 316 form.
raw_lighting_d_2,raw_widget,LIGHTING D 2,CheckBox,819,819,5.0,0; 1,Raw PDF widget 'LIGHTING D 2' extracted from the OL 316 form.
raw_lighting_e_1,raw_widget,LIGHTING E 1,CheckBox,819,819,1.0,0; 1,Raw PDF widget 'LIGHTING E 1' extracted from the OL 316 form.
raw_lighting_e_2,raw_widget,LIGHTING E 2,CheckBox,819,819,1.0,0; 1,Raw PDF widget 'LIGHTING E 2' extracted from the OL 316 form.
raw_major,raw_widget,major,CheckBox,826,826,20.0,0; 1,Raw PDF widget 'major' extracted from the OL 316 form.
raw_make,raw_widget,MAkE,Text,826,825,0.0,Chevrolet; Lincoln; Chrysler,Raw PDF widget 'MAkE' extracted from the OL 316 form.
raw_manufacturers_name,raw_widget,MANufACTuRERS NAME,Text,826,826,0.0,GM Cruise LLC; Aurora Innovation Inc; Waymo LLC,Raw PDF widget 'MANufACTuRERS NAME' extracted from the OL 316 form.
raw_minor,raw_widget,minor,CheckBox,826,826,590.0,0; 1,Raw PDF widget 'minor' extracted from the OL 316 form.
raw_model,raw_widget,MODEL,Text,826,825,0.0,Bolt; MKZ; Pacifica,Raw PDF widget 'MODEL' extracted from the OL 316 form.
raw_model_2,raw_widget,MODEL_2,Text,826,658,0.0,Pcx150; Honda CR-V; Prius,Raw PDF widget 'MODEL_2' extracted from the OL 316 form.
raw_moderate,raw_widget,Moderate,CheckBox,826,826,133.0,1; 0,Raw PDF widget 'Moderate' extracted from the OL 316 form.
raw_movement_a_1,raw_widget,MOVEMENT A 1,CheckBox,819,819,343.0,0; 1,Raw PDF widget 'MOVEMENT A 1' extracted from the OL 316 form.
raw_movement_a_2,raw_widget,MOVEMENT A 2,CheckBox,819,819,21.0,0; 1,Raw PDF widget 'MOVEMENT A 2' extracted from the OL 316 form.
raw_movement_b_1,raw_widget,MOVEMENT  B 1,CheckBox,819,819,229.0,0; 1,Raw PDF widget 'MOVEMENT  B 1' extracted from the OL 316 form.
raw_movement_b_2,raw_widget,MOVEMENT  B 2,CheckBox,819,819,338.0,0; 1,Raw PDF widget 'MOVEMENT  B 2' extracted from the OL 316 form.
raw_movement_c_1,raw_widget,MOVEMENT C 1,CheckBox,819,819,0.0,0,Raw PDF widget 'MOVEMENT C 1' extracted from the OL 316 form.
raw_movement_c_2,raw_widget,MOVEMENT C 2,CheckBox,819,819,1.0,0; 1,Raw PDF widget 'MOVEMENT C 2' extracted from the OL 316 form.
raw_movement_d_1,raw_widget,MOVEMENT  D 1,CheckBox,819,819,43.0,0; 1,Raw PDF widget 'MOVEMENT  D 1' extracted from the OL 316 form.
raw_movement_d_2,raw_widget,MOVEMENT  D 2,CheckBox,819,819,41.0,0; 1,Raw PDF widget 'MOVEMENT  D 2' extracted from the OL 316 form.
raw_movement_e_1,raw_widget,MOVEMENT  E 1,CheckBox,819,819,45.0,1; 0,Raw PDF widget 'MOVEMENT  E 1' extracted from the OL 316 form.
raw_movement_e_2,raw_widget,MOVEMENT  E 2,CheckBox,819,819,34.0,0; 1,Raw PDF widget 'MOVEMENT  E 2' extracted from the OL 316 form.
raw_movement_f_1,raw_widget,MOVEMENT  F 1,CheckBox,819,819,2.0,0; 1,Raw PDF widget 'MOVEMENT  F 1' extracted from the OL 316 form.
raw_movement_f_2,raw_widget,MOVEMENT  F 2,CheckBox,819,819,2.0,0; 1,Raw PDF widget 'MOVEMENT  F 2' extracted from the OL 316 form.
raw_movement_g_1,raw_widget,MOVEMENT  G 1,CheckBox,819,819,31.0,0; 1,Raw PDF widget 'MOVEMENT  G 1' extracted from the OL 316 form.
raw_movement_g_2,raw_widget,MOVEMENT  G 2,CheckBox,819,819,60.0,0; 1,Raw PDF widget 'MOVEMENT  G 2' extracted from the OL 316 form.
raw_movement_h_1,raw_widget,MOVEMENT  H 1,CheckBox,819,819,67.0,0; 1,Raw PDF widget 'MOVEMENT  H 1' extracted from the OL 316 form.
raw_movement_h_2,raw_widget,MOVEMENT  H 2,CheckBox,819,819,16.0,0; 1,Raw PDF widget 'MOVEMENT  H 2' extracted from the OL 316 form.
raw_movement_i_1,raw_widget,MOVEMENT  I 1,CheckBox,819,819,4.0,0; 1,Raw PDF widget 'MOVEMENT  I 1' extracted from the OL 316 form.
raw_movement_i_2,raw_widget,MOVEMENT  I 2,CheckBox,819,819,43.0,0; 1,Raw PDF widget 'MOVEMENT  I 2' extracted from the OL 316 form.
raw_movement_j_1,raw_widget,MOVEMENT J 1,CheckBox,819,819,20.0,0; 1,Raw PDF widget 'MOVEMENT J 1' extracted from the OL 316 form.
raw_movement_j_2,raw_widget,MOVEMENT J 2,CheckBox,819,819,59.0,1; 0,Raw PDF widget 'MOVEMENT J 2' extracted from the OL 316 form.
raw_movement_k_1,raw_widget,MOVEMENT  K 1,CheckBox,819,819,13.0,0; 1,Raw PDF widget 'MOVEMENT  K 1' extracted from the OL 316 form.
raw_movement_k_2,raw_widget,MOVEMENT  K 2,CheckBox,819,819,13.0,0; 1,Raw PDF widget 'MOVEMENT  K 2' extracted from the OL 316 form.
raw_movement_l_1,raw_widget,MOVEMENT  L 1,CheckBox,819,819,6.0,0; 1,Raw PDF widget 'MOVEMENT  L 1' extracted from the OL 316 form.
raw_movement_l_2,raw_widget,MOVEMENT  L 2,CheckBox,819,819,20.0,0; 1,Raw PDF widget 'MOVEMENT  L 2' extracted from the OL 316 form.
raw_movement_m_1,raw_widget,MOVEMENT  M 1,CheckBox,819,819,0.0,0,Raw PDF widget 'MOVEMENT  M 1' extracted from the OL 316 form.
raw_movement_m_2,raw_widget,MOVEMENT  M 2,CheckBox,819,819,19.0,0; 1,Raw PDF widget 'MOVEMENT  M 2' extracted from the OL 316 form.
raw_movement_n_1,raw_widget,MOVEMENT  N 1,CheckBox,819,819,1.0,0; 1,Raw PDF widget 'MOVEMENT  N 1' extracted from the OL 316 form.
raw_movement_n_2,raw_widget,MOVEMENT  N 2,CheckBox,819,819,14.0,0; 1,Raw PDF widget 'MOVEMENT  N 2' extracted from the OL 316 form.
raw_movement_o_1,raw_widget,MOVEMENT  O 1,CheckBox,819,819,26.0,0; 1,Raw PDF widget 'MOVEMENT  O 1' extracted from the OL 316 form.
raw_movement_o_2,raw_widget,MOVEMENT  O 2,CheckBox,819,819,49.0,0; 1,Raw PDF widget 'MOVEMENT  O 2' extracted from the OL 316 form.
raw_movement_p_1,raw_widget,MOVEMENT  P 1,CheckBox,819,819,4.0,0; 1,Raw PDF widget 'MOVEMENT  P 1' extracted from the OL 316 form.
raw_movement_p_2,raw_widget,MOVEMENT  P 2,CheckBox,819,819,3.0,0; 1,Raw PDF widget 'MOVEMENT  P 2' extracted from the OL 316 form.
raw_movement_q_1,raw_widget,MOVEMENT  Q 1,CheckBox,819,819,0.0,0,Raw PDF widget 'MOVEMENT  Q 1' extracted from the OL 316 form.
raw_movement_q_2,raw_widget,MOVEMENT  Q 2,CheckBox,819,819,12.0,0; 1,Raw PDF widget 'MOVEMENT  Q 2' extracted from the OL 316 form.
raw_movement_r_1,raw_widget,MOVEMENT  R 1,CheckBox,819,819,9.0,0; 1,Raw PDF widget 'MOVEMENT  R 1' extracted from the OL 316 form.
raw_movement_r_2,raw_widget,MOVEMENT  R 2,CheckBox,819,819,16.0,0; 1,Raw PDF widget 'MOVEMENT  R 2' extracted from the OL 316 form.
raw_moving,raw_widget,Moving,CheckBox,826,826,0.0,0,Raw PDF widget 'Moving' extracted from the OL 316 form.
raw_moving_2,raw_widget,Moving_2,CheckBox,826,826,0.0,0,Raw PDF widget 'Moving_2' extracted from the OL 316 form.
raw_name_first_middle_last,raw_widget,NAME First Middle last,Text,826,31,0.0,NA; N/A; None,Raw PDF widget 'NAME First Middle last' extracted from the OL 316 form.
raw_name_first_middle_last_2,raw_widget,NAME First Middle last_2,Text,826,24,0.0,NA; N/A; None,Raw PDF widget 'NAME First Middle last_2' extracted from the OL 316 form.
raw_none,raw_widget,nan,CheckBox,826,826,81.0,0; 1,Raw PDF widget 'None' extracted from the OL 316 form.
raw_none_apparent_checkbox,raw_widget,NONE APPARENT CHECKBOX,CheckBox,7,7,2.0,1; 0,Raw PDF widget 'NONE APPARENT CHECKBOX' extracted from the OL 316 form.
raw_number_of_vehicles_involved,raw_widget,NuMBER Of VEhICLES INVOLVED,Text,826,818,0.0,2; 3; 1,Raw PDF widget 'NuMBER Of VEhICLES INVOLVED' extracted from the OL 316 form.
raw_number_of_vehicles_involved_2,raw_widget,NuMBER Of VEhICLES INVOLVED_2,Text,826,662,0.0,2; 3; 1,Raw PDF widget 'NuMBER Of VEhICLES INVOLVED_2' extracted from the OL 316 form.
raw_other,raw_widget,Other,Text,826,174,0.0,Skateboarder; Truck; Scooter,Raw PDF widget 'Other' extracted from the OL 316 form.
raw_other_2,raw_widget,Other_2,Text,826,81,0.0,Parked; Skateboarder; Electric Scooterist,Raw PDF widget 'Other_2' extracted from the OL 316 form.
raw_other_a_no,raw_widget,OTHER A NO,CheckBox,819,819,28.0,0; 1,Raw PDF widget 'OTHER A NO' extracted from the OL 316 form.
raw_other_a_yes,raw_widget,OTHER A YES,CheckBox,819,819,3.0,0; 1,Raw PDF widget 'OTHER A YES' extracted from the OL 316 form.
raw_other_b,raw_widget,OTHER B,CheckBox,819,819,2.0,0; 1,Raw PDF widget 'OTHER B' extracted from the OL 316 form.
raw_other_c,raw_widget,OTHER C,CheckBox,819,819,11.0,0; 1,Raw PDF widget 'OTHER C' extracted from the OL 316 form.
raw_other_checkbox,raw_widget,OTHER CHECKBOX,CheckBox,7,7,0.0,0,Raw PDF widget 'OTHER CHECKBOX' extracted from the OL 316 form.
raw_other_d,raw_widget,OTHER D,CheckBox,819,819,11.0,0; 1,Raw PDF widget 'OTHER D' extracted from the OL 316 form.
raw_other_e,raw_widget,OTHER E,CheckBox,819,819,9.0,0; 1,Raw PDF widget 'OTHER E' extracted from the OL 316 form.
raw_other_f,raw_widget,OTHER F,CheckBox,819,819,0.0,0,Raw PDF widget 'OTHER F' extracted from the OL 316 form.
raw_other_g,raw_widget,OTHER G,CheckBox,819,819,1.0,0; 1,Raw PDF widget 'OTHER G' extracted from the OL 316 form.
raw_other_h_no,raw_widget,OTHER H NO,CheckBox,819,819,10.0,0; 1,Raw PDF widget 'OTHER H NO' extracted from the OL 316 form.
raw_other_h_yes,raw_widget,OTHER H YES,CheckBox,819,819,0.0,0,Raw PDF widget 'OTHER H YES' extracted from the OL 316 form.
raw_other_i,raw_widget,OTHER I,CheckBox,819,819,1.0,0; 1,Raw PDF widget 'OTHER I' extracted from the OL 316 form.
raw_other_j,raw_widget,OTHER J,CheckBox,819,819,3.0,0; 1,Raw PDF widget 'OTHER J' extracted from the OL 316 form.
raw_other_k,raw_widget,OTHER K,CheckBox,819,819,94.0,0; 1,Raw PDF widget 'OTHER K' extracted from the OL 316 form.
raw_other_l,raw_widget,OTHER L,CheckBox,819,819,2.0,0; 1,Raw PDF widget 'OTHER L' extracted from the OL 316 form.
raw_passenger,raw_widget,Passenger,CheckBox,826,826,0.0,0,Raw PDF widget 'Passenger' extracted from the OL 316 form.
raw_passenger_2,raw_widget,Passenger_2,CheckBox,826,826,0.0,0,Raw PDF widget 'Passenger_2' extracted from the OL 316 form.
